date_utc,latitude,longitude,lat_diff,lon_diff,mode,RM,mrglRM,QLCS,hybrid,tilt,time,arl_peak,out,in,vrot,delta-v,circulation,radar,warning,dptds,stp,pop,lbound,ubound,range,mlcape,srh01
02/18/2020,33.280405,-87.6399575,0.037358,0.005669,0,0,0,0,0,0.527,2218,3800,35.5,44.7,40.1,1.91,0,BMX,0,0,0.23,20,75,140,50.7839214,400,104
03/19/2020,33.305275,-97.752182,0.002686,0.005188,0,0,0,0,0,0.491,0242,4200,69.9,35,52.45,0.34,0,FWS,0,0,2.34,8,75,135,21.6691874,1561,235
04/22/2020,30.831332,-95.591026,0.003962,0.073868,0,0,0,0,0,0.459,2205,9100,69,10.7,39.85,4.44,0,HGX,0,0,6.81,8,75,145,98.679385,2567,266
04/22/2020,30.832771,-95.119732,0.000488,0.01522,0,0,0,0,0,0.46,2244,8400,92.3,41.8,67.05,0.92,0,HGX,0,0,4.98,180,90,165,93.9324175,2413,282
04/22/2020,30.8394765,-95.0818365,0.003783,0.015861,0,0,0,0,0,0.46,2246,8500,91.3,55.4,73.35,0.97,0,HGX,0,0,4.98,14,100,170,94.36396,2413,282
04/22/2020,30.841656,-95.04678,0.008514,0.030678,0,0,0,0,0,0.458,2248,8500,71.9,69.9,70.9,1.9,0,HGX,0,0,6.9,3,110,180,94.536577,2333,326
04/23/2020,30.924097,-94.158638,0.03199,0.009568,0,0,0,0,0,0.483,0002,5800,58.3,40.8,49.55,1.75,0,POE,0,0,8.01,0,75,145,71.7281174,2431,397
04/23/2020,30.9310455,-93.8445395,0.005409,0.005699,0,0,0,0,0,0.483,0031,3800,61.2,61.2,61.2,0.44,0,POE,0,0,7.17,0,90,165,53.626348,2090,434
04/23/2020,30.975466,-93.4521065,0.008968,0.005105,0,0,0,0,0,0.483,0102,1800,62.2,64.1,63.15,0.55,0,POE,0,0,7.55,0,90,165,30.7488416,1968,493
04/23/2020,31.185775,-92.3837165,0.019464,0.021385,0,0,0,0,0,0.483,0232,2200,61.2,78.7,69.95,1.63,0,POE,0,0,6.72,1,90,165,35.041251,1236,510
04/23/2020,31.182286,-92.381687,0.009676,0.001762,0,0,0,0,0,0.483,0234,2200,51.5,67,59.25,0.51,0,POE,0,0,6.72,5,90,165,35.1275595,1236,510
04/23/2020,31.185665,-92.3619385,0.005272,0.001053,0,0,0,0,0,0.483,0236,2300,64.1,51.5,57.8,0.28,0,POE,0,0,6.72,1,90,165,36.3186168,1236,510
04/23/2020,31.1870615,-92.362106,0.006825,0.001404,0,0,0,0,0,0.483,0236,2300,64.1,51.5,57.8,0.36,0,POE,0,0,6.72,1,90,165,36.3128629,1236,510
04/23/2020,31.192268,-92.341549,0.003872,0.000588,0,0,0,0,0,0.483,0237,2400,65.1,41.8,53.45,0.2,0,POE,0,0,6.72,9,90,165,37.5441975,1236,510
